화장실명,소재지도로명주소,비상벨설치여부,개방시간상세,male,female,lat,lon
가평레일바이크 화장실,경기도 가평군 가평읍 장터길 14,N,운영시간내,1,1,37.8288388,127.5157265
자라목공원,경기도 가평군 가평읍 보납로 73 일원,N,00:00~00:00,1,1,37.8318708,127.5187771
진흥여객 차고지,경기도 가평군 조종면 청군로 1294,N,운영시간내,1,0,37.8199096,127.3462344
가평공영버스터미널화장실,경기도 가평군 가평읍 가화로 51,N,운영시간내,1,1,37.82464239999999,127.5153446
자라섬캠핑장1(오토),경기도 가평군 가평읍 자라섬로 60,N,00:00~00:00,1,0,37.8209889,127.5209023
자라섬캠핑장2(A사이트),경기도 가평군 가평읍 자라섬로 60,N,00:00~00:00,1,0,37.8209889,127.5209023
자라섬캠핑장3(B사이트),경기도 가평군 가평읍 자라섬로 60,N,00:00~00:00,1,0,37.8209889,127.5209023
(주)라인에너지청평충전소,경기도 가평군 청평면 경춘로 1050,Y,운영시간내,1,1,37.7385914,127.4206034
자라섬남도1(강변),경기도 가평군 가평읍 자라섬로 60,N,00:00~00:00,1,0,37.8209889,127.5209023
조종국민체육센터,경기도 가평군 조종면 조종희망로26번길 16,N,운영시간내,3,3,37.8179566,127.3523789
청평호반문화체육센터,경기도 가평군 청평면 은고개로 39,Y,운영시간내,4,4,37.739099,127.4243251
가평파크골프장,경기도 가평군 청평면 북한강자전거길 1894,Y,운영시간내,1,1,37.6920337,127.3839869
한석봉체육관(4),경기도 가평군 가평읍 문화로 153,Y,운영시간내,2,2,37.826236,127.5069865
종합운동장(4),경기도 가평군 가평읍 문화로 131,N,00:00~00:00,2,2,37.8249459,127.5072685
가평체육관,경기도 가평군 가평읍 문화로 131,N,운영시간내,2,2,37.8249459,127.5072685
가평테니스장,경기도 가평군 가평읍 문화로 131,N,운영시간내,1,0,37.8249459,127.5072685
문화예술회관,경기도 가평군 가평읍 문화로 131,Y,운영시간내,1,1,37.8249459,127.5072685
산장관광지 화장실(3),경기도 가평군 상면 덕현산장길 71,Y,운영시간내,1,1,37.7538001,127.4108994
산장관광지 화장실(2),경기도 가평군 상면 덕현산장길 71,Y,운영시간내,1,1,37.7538001,127.4108994
수상클럽 하우스,경기도 가평군 가평읍 자라섬로 60,N,운영시간내,1,1,37.8209889,127.5209023
희망축구전용구장,경기도 가평군 가평읍 문화로 131,Y,운영시간내,1,1,37.8249459,127.5072685
잣고을시장 창업경제타운,경기도 가평군 가평읍 장터2길 12,Y,08:00 ~ 22:00,3,3,37.8297225,127.5151071
연인산다목적캠핑장,경기도 가평군 북면 백둔로 441,Y,24시간,1,1,37.9016288,127.4622563
자라섬캠핑장 안내소,경기도 가평군 가평읍 자라섬로 60,N,24시간,0,1,37.8209889,127.5209023
수택1동 행정복지센터,경기도 구리시 검배로 93번길 35,N,(평일)09:00~18:00,1,0,37.596352,127.1491187
주민편익시설 화장실,경기도 구리시 왕숙천로 49,N,17시간,1,1,37.6083634,127.1533553
가평경찰서 민원화장실,경기도 가평군 청평면 경춘로 1401,N,운영시간내,1,1,37.7385914,127.4206034
가평우체국 1층,경기도 가평군 가평읍 보납로 2,N,09:00∼18:00,1,1,37.8310347,127.5108116
가평조종우체국 1층,경기도 가평군 조종면 현창로 31,N,09:00∼18:00,0,1,37.8174698,127.3483178
대성리,경기도 가평군 청평면 경춘로 88,Y,영업시간내,1,1,37.7385914,127.4206034
청평,경기도 가평군 청평면 청평역로 97-33,Y,영업시간내,1,1,37.7356771,127.4278395
상천,경기도 가평군 청평면 상천역로 2,Y,영업시간내,1,1,37.7703069,127.4528838
가평,경기도 가평군 가평읍 문화로 13-42,Y,영업시간내,1,1,37.8142431,127.5110436
국립농산물품질관리원 경기지원 가평사무소 1층,경기도 가평군 가평읍 석봉로 200-21,N,09:00∼18:00,1,1,37.8333958,127.5100761
